Postcode District,Postcode,Latitude,Longitude,pollen_count
AL3,AL3 4AA,51.740921,-0.354252,Low
AL4,AL4 0AA,51.740198,-0.305859,Low
AL5,AL5 1AA,51.811036,-0.334785,Low
AL6,AL6 0AA,51.81548,-0.179007,Low
AL7,AL7 1AA,51.804482,-0.195898,Low
AL8,AL8 6AA,51.802056,-0.20719200000000002,Low
AL9,AL9 5AA,51.764308,-0.226194,Low
B1,B1 1AA,52.476659999999995,-1.9035349999999998,Low
B10,B10 0AA,52.470071999999995,-1.8763009999999998,Low
B11,B11 1AA,52.459539,-1.871415,Low
B12,B12 0AB,52.469863000000004,-1.8778279999999998,Low
B13,B13 0AA,52.431743999999995,-1.882204,Low
B14,B14 4AA,52.421538,-1.888818,Low
B15,B15 1AA,52.4755,-1.914565,Low
B16,B16 0AA,52.481595,-1.933366,Low
B17,B17 0AA,52.456313,-1.9621650000000002,Low
B18,B18 4AA,52.4881,-1.938104,Low
B19,B19 1AA,52.49652800000001,-1.9159529999999998,Low
B2,B2 2AA,52.495953,-1.8942139999999998,Low
B20,B20 1AA,52.519543999999996,-1.9328130000000001,Low
B21,B21 0AA,52.508786,-1.958702,Low
B22,B22 1AA,52.411725,-1.9288310000000002,Low
B23,B23 3AA,52.52485,-1.840686,Low
B24,B24 0AA,52.529338,-1.829098,Low
B25,B25 8AA,52.46257900000001,-1.817596,Low
B26,B26 1AA,52.462295,-1.8140509999999999,Low
B27,B27 6AA,52.44941800000001,-1.8237860000000001,Low
B28,B28 0AA,52.43436,-1.8502189999999998,Low
B29,B29 4AA,52.435892,-1.9502380000000001,Low
B3,B3 1AA,52.476659999999995,-1.9035349999999998,Low
B30,B30 1AA,52.415161,-1.9318830000000002,Low
B31,B31 1AA,52.434174,-1.979364,Low
B32,B32 1AA,52.46179,-2.012887,Low
B33,B33 0AA,52.479771,-1.781996,Low
B34,B34 6AA,52.491099,-1.814091,Low
B35,B35 6AA,52.519736,-1.8001029999999998,Low
B36,B36 0AA,52.502478,-1.7715130000000001,Low
B37,B37 5AA,52.482163,-1.7507380000000001,Low
B38,B38 0AA,52.407266,-1.915961,Low
B4,B4 6AA,52.48260500000001,-1.896425,Low
B40,B40 1NH,52.450035,-1.7233310000000002,Low
B42,B42 1AA,52.517723,-1.903072,Low
B43,B43 5AA,52.536595,-1.945673,Low
B44,B44 0AA,52.541741,-1.869303,Low
B45,B45 0AG,52.403601,-2.046991,Low
B46,B46 1AA,52.499572,-1.709041,Low
B47,B47 5BN,52.396809999999995,-1.883075,Low
B48,B48 7AA,52.371607,-1.959343,Low
B49,B49 5AA,52.213989,-1.870221,Low
B5,B5 4AA,52.477491,-1.9022330000000005,Low
B50,B50 4AA,52.165261,-1.8548069999999999,Low
B6,B6 4AA,52.495953,-1.8942139999999998,Low
B60,B60 1AA,52.340371999999995,-2.050652,Low
B61,B61 0AA,52.319233000000004,-2.0567159999999998,Low
B62,B62 0AA,52.448728,-2.0278970000000003,Low
B63,B63 1AA,52.44631,-2.06993,Low
B64,B64 5AA,52.47095899999999,-2.085677,Low
B65,B65 0AA,52.476123,-2.048114,Low
B66,B66 1AA,52.49641999999999,-1.972648,Low
B67,B67 5AA,52.47961700000001,-1.9714650000000002,Low
B68,B68 0AA,52.466322999999996,-1.9823520000000001,Low
B69,B69 1AA,52.509156000000004,-2.058096,Low
B7,B7 4AA,52.49269,-1.884177,Low
B70,B70 0AA,52.526951000000004,-2.017187,Low
B71,B71 1AA,52.533802,-1.9871599999999998,Low
B72,B72 1AA,52.561705,-1.8257860000000001,Low
B73,B73 5AA,52.544089,-1.855657,Low
B74,B74 2AA,52.56351,-1.8825009999999998,Low
B75,B75 5AA,52.582609999999995,-1.827696,Low
B76,B76 0AA,52.52705,-1.727218,Low
B77,B77 1AA,52.628862,-1.6871169999999998,Low
B78,B78 1AA,52.613411,-1.631637,Low
B79,B79 0AA,52.65426,-1.674607,Low
B8,B8 1AA,52.482641,-1.861541,Low
B80,B80 7AA,52.274001,-1.889011,Low
B9,B9 4AA,52.47542900000001,-1.884163,Low
B90,B90 1AA,52.40315,-1.8459889999999999,Low
B91,B91 1AA,52.41667,-1.781793,Low
B92,B92 0AA,52.425297,-1.702176,Low
B93,B93 0AA,52.390122,-1.717915,Low
B94,B94 5AA,52.342282,-1.8131509999999997,Low
B95,B95 5AA,52.295853,-1.7782509999999998,Low
B96,B96 6AA,52.258987,-1.937557,Low
B97,B97 4AA,52.307402,-1.942755,Low
B98,B98 0AA,52.293476,-1.891646,Low
B99,B99 1AA,52.495953,-1.8942139999999998,Low
BA1,BA1 0AA,51.378858,-2.355562,Low
BA10,BA10 0AA,51.112261,-2.453879,Low
BA11,BA11 1AA,51.231627,-2.321197,Low
BA12,BA12 0AA,51.209477,-2.179722,Low
BA13,BA13 2GA,51.257583000000004,-2.196647,Low
BA14,BA14 0AA,51.317329,-2.214825,Low
BA15,BA15 1AA,51.347491,-2.249211,Low
BA16,BA16 0AA,51.130739,-2.7347240000000004,Low
BA2,BA2 0AA,51.336634000000004,-2.481042,Low
BA20,BA20 1AA,50.941537,-2.639065,Low
BA21,BA21 3AA,50.946272,-2.6381200000000002,Low
BA22,BA22 7AA,51.070392,-2.520393,Low
BA3,BA3 1AA,51.336643,-2.481027,Low
BA4,BA4 4AA,51.17474,-2.624404,Low
BA5,BA5 1AA,51.216183,-2.663923,Low
BA6,BA6 0AH,51.148252,-2.714987,Low
BA7,BA7 7AA,51.089825,-2.514129,Low
BA8,BA8 0AA,51.027297999999995,-2.461233,Low
BA9,BA9 0AB,51.057353000000006,-2.409923,Low
BB0,BB0 1GR,53.753448999999996,-2.464232,Low
BB1,BB1 1AA,53.749199,-2.482185,Low
BB10,BB10 1AA,53.796517,-2.242954,Low
BB11,BB11 1AA,53.790875,-2.241631,Low
BB12,BB12 0AA,53.796648,-2.248936,Low
BB18,BB18 5AA,53.916408,-2.187014,Low
BB2,BB2 1AA,53.749748,-2.4863619999999997,Low
BB3,BB3 0AA,53.709601,-2.481247,Low
BB4,BB4 0AA,53.702006000000004,-2.284443,Low
BB5,BB5 0AA,53.753528,-2.369098,Low
BB6,BB6 7AA,53.784363,-2.406157,Low
BB7,BB7 0AA,53.8745,-2.393844,Low
BB8,BB8 0AA,53.856481,-2.171954,Low
BB9,BB9 0AA,53.832871,-2.2155720000000003,Low
BB94,BB94 0AA,53.915243000000004,-2.138033,Low
BD1,BD1 1AA,53.796018999999994,-1.7505990000000002,Low
BD10,BD10 0AA,53.843677,-1.7354060000000002,Low
BD11,BD11 1AA,53.755933,-1.659502,Low
BD12,BD12 0AA,53.756719999999994,-1.766741,Low
BD13,BD13 1AA,53.770253000000004,-1.8423580000000002,Low
BD14,BD14 6AA,53.78176,-1.818368,Low
BD15,BD15 0AA,53.82356600000001,-1.861011,Low
BD16,BD16 1AA,53.845788,-1.83595,Low
BD17,BD17 5AA,53.85023100000001,-1.771725,Low
BD18,BD18 1AA,53.828253000000004,-1.7610569999999999,Low
BD19,BD19 3AA,53.72373399999999,-1.7243680000000001,Low
BD2,BD2 1AA,53.80963199999999,-1.757427,Low
BD20,BD20 0AA,53.913734,-1.939069,Low
BD21,BD21 1AA,53.865083,-1.9107189999999998,Low
BD22,BD22 0AA,53.88789499999999,-2.037497,Low
BD23,BD23 0AB,53.957715,-2.025887,Low
BD24,BD24 0AA,54.065362,-2.286448,Low
BD3,BD3 0AB,53.799021999999994,-1.730054,Low
BD4,BD4 0AA,53.774517,-1.70953,Low
BD5,BD5 0AA,53.790808999999996,-1.756443,Low
BD6,BD6 1AA,53.766117,-1.755357,Low
BD7,BD7 1AA,53.79124399999999,-1.758368,Low
BD8,BD8 0AA,53.80437,-1.806399,Low
BD9,BD9 4AA,53.813340000000004,-1.7833459999999999,Low
BD97,BD97 1AD,53.85095,-1.837754,Low
BD98,BD98 8AA,53.838393,-1.780588,Low
BD99,BD99 2WZ,53.792489,-1.7841669999999998,Low
BH1,BH1 1AA,50.727909000000004,-1.863623,Low
BH10,BH10 4AA,50.745845,-1.904787,Low
BH11,BH11 0AA,50.758188,-1.9243830000000002,Low
BH12,BH12 1AA,50.724092999999996,-1.90903,Low
BH13,BH13 6AA,50.721090000000004,-1.9070470000000002,Low
BH14,BH14 0AA,50.729116,-1.940922,Low
BH15,BH15 1AA,50.715559999999996,-1.985656,Low
BH16,BH16 5AA,50.726251,-2.018663,Low
BH17,BH17 0AA,50.746663,-1.9739389999999999,Low
BH18,BH18 0AA,50.746663,-1.973925,Low
BH19,BH19 1AA,50.609403,-1.9591889999999998,Low
BH2,BH2 5AA,50.715853,-1.8769209999999998,Low
BH20,BH20 4AA,50.69654600000001,-2.10642,Low
BH21,BH21 1AA,50.79795,-1.9849080000000001,Low
BH22,BH22 0AA,50.808890999999996,-1.8931349999999998,Low
BH23,BH23 1AA,50.733459,-1.776689,Low
BH24,BH24 1AA,50.846135,-1.791152,Low
BH25,BH25 5AA,50.756396,-1.636061,Low
BH3,BH3 7AA,50.732543,-1.874165,Low
BH31,BH31 6AB,50.881352,-1.883204,Low
BH4,BH4 0AB,50.721923,-1.9023990000000002,Low
BH5,BH5 1AA,50.722455,-1.845775,Low
BH6,BH6 3AA,50.72827,-1.79152,Low
BH7,BH7 6AA,50.727271,-1.8357139999999998,Low
BH8,BH8 0AA,50.755732,-1.8556740000000005,Low
BH9,BH9 1AA,50.73985,-1.878624,Low
BL0,BL0 0AA,53.647755000000004,-2.3123810000000002,Low
BL1,BL1 1AA,53.579554,-2.432887,Low
BL11,BL11 1AE,53.572023,-2.425139,Low
BL2,BL2 1AA,53.578962,-2.420134,Low
BL3,BL3 1AA,53.56444000000001,-2.372884,Low
BL4,BL4 0AA,53.549381999999994,-2.4095169999999997,Low
BL5,BL5 1AA,53.550169,-2.469278,Low
BL6,BL6 4AA,53.579826000000004,-2.50359,Low
BL7,BL7 0AA,53.640553000000004,-2.39526,Low
BL78,BL78 1AA,53.554956999999995,-2.4034880000000003,Low
BL8,BL8 1AA,53.59543000000001,-2.3074169999999996,Low
BL9,BL9 0AA,53.592797,-2.296505,Low
BN1,BN1 1AA,50.826334,-0.140818,Low
BN10,BN10 7AA,50.794976,-0.0181,Low
BN11,BN11 1AA,50.81414,-0.370715,Low
BN12,BN12 4AA,50.813215,-0.407896,Low
BN13,BN13 1AA,50.818762,-0.39334,Low
BN14,BN14 0AA,50.839075,-0.393779,Low
BN15,BN15 0AA,50.832235,-0.333192,Low
BN16,BN16 1AA,50.81740300000001,-0.487451,Low
BN17,BN17 5AA,50.808904,-0.541135,Low
BN18,BN18 0AA,50.858576,-0.568955,Low
BN2,BN2 0AA,50.820705,-0.11956099999999999,Low
BN20,BN20 0AA,50.752014,0.20669400000000002,Low
BN21,BN21 1AA,50.769353,0.278764,Low
BN22,BN22 0AA,50.793265999999996,0.26385,Low
BN23,BN23 5AA,50.794218,0.33215100000000003,Low
BN24,BN24 5AA,50.819492,0.314981,Low
BN25,BN25 1AA,50.772012,0.104281,Low
BN26,BN26 5AA,50.82059,0.24407199999999998,Low
BN27,BN27 1AA,50.86176500000001,0.258,Low
BN3,BN3 1AA,50.825313,-0.15757100000000002,Low
BN4,BN4 1AA,50.830787,-0.20937199999999997,Low
BN41,BN41 1AA,50.832072,-0.207548,Low
BN42,BN42 4AA,50.83374,-0.232564,Low
BN43,BN43 5AA,50.835427,-0.27316,Low
BN44,BN44 3AA,50.90567100000001,-0.331125,Low
BN45,BN45 7AA,50.892715,-0.207567,Low
BN5,BN5 0AA,50.916222,-0.26459499999999997,Low
BN50,BN50 8AA,50.826334,-0.140818,Low
BN51,BN51 9AA,50.804823,-0.058672,Low
BN52,BN52 9AA,50.834409,-0.16806300000000002,Low
BN6,BN6 0AA,50.924221,-0.142184,Low
BN7,BN7 1AA,50.872397,0.009033,Low
BN8,BN8 4AA,50.909803000000004,0.16919700000000001,Low
BN88,BN88 1AH,50.823141,-0.132923,Low
BN9,BN9 0AA,50.792761999999996,0.056514,Low
BN99,BN99 3AP,50.81414,-0.370715,Low
BR1,BR1 1AA,51.401546,0.015415,Low
BR2,BR2 0AA,51.407775,-0.003321,Low
BR3,BR3 1AA,51.407682,-0.032385000000000004,Low
BR4,BR4 0AA,51.380973,-0.011615,Low
BR5,BR5 1AA,51.38637,0.06475,Low
BR6,BR6 0AA,51.374644,0.093075,Low
BR7,BR7 5AA,51.416160999999995,0.067962,Low
BR8,BR8 6NP,51.366941,0.05425,Low
BS0,BS0 1ZZ,51.343881,-2.957023,Low
BS1,BS1 1AA,51.449515999999996,-2.57837,Low
BS10,BS10 5AA,51.491362,-2.594916,Low
BS11,BS11 0AA,51.495219,-2.682303,Low
BS12,BS12 0AG,51.539255,-2.545969,Low
BS13,BS13 0AA,51.409825,-2.601766,Low
BS14,BS14 0AA,51.420733,-2.580379,Low
BS15,BS15 0AB,51.461326,-2.505743,Low
BS16,BS16 0AN,51.478505,-2.526956,Low
BS17,BS17 1AA,51.512399,-2.496956,Low
BS18,BS18 1AA,51.410907,-2.497839,Low
BS19,BS19 1AB,51.434836,-2.753491,Low
BS2,BS2 0AF,51.4556,-2.580965,Low
BS20,BS20 0AA,51.480546999999994,-2.686534,Low
BS21,BS21 5AB,51.428138,-2.846847,Low
BS22,BS22 0AA,51.355224,-2.933118,Low
BS23,BS23 1AA,51.346996999999995,-2.977175,Low
BS24,BS24 0AA,51.31430200000001,-2.9498349999999998,Low
BS25,BS25 1AA,51.313553999999996,-2.831836,Low
BS26,BS26 2AA,51.28758,-2.821185,Low
BS27,BS27 3AA,51.275443,-2.777415,Low
BS28,BS28 4AA,51.227369,-2.810833,Low
BS29,BS29 6AA,51.327191,-2.865457,Low
BS3,BS3 1AA,51.445506,-2.592737,Low
BS30,BS30 5AA,51.448127,-2.464269,Low
BS31,BS31 1AA,51.411186,-2.4978990000000003,Low
BS32,BS32 0AF,51.533491,-2.570582,Low
BS34,BS34 5AA,51.527577,-2.575568,Low
BS35,BS35 1AB,51.618913,-2.509645,Low
BS36,BS36 1AA,51.512361999999996,-2.497186,Low
BS37,BS37 0AA,51.539471,-2.414055,Low
BS39,BS39 4AA,51.373177,-2.5502540000000002,Low
BS4,BS4 1AA,51.42766500000001,-2.575059,Low
BS40,BS40 5AA,51.359204999999996,-2.786416,Low
BS41,BS41 8AA,51.409501,-2.651928,Low
BS48,BS48 1AB,51.435195,-2.7550209999999997,Low
BS49,BS49 4AA,51.391465999999994,-2.824582,Low
BS5,BS5 0AA,51.456084999999995,-2.568162,Low
BS6,BS6 5AA,51.47034,-2.5928310000000003,Low
BS7,BS7 0AA,51.488821,-2.583462,Low
BS77,BS77 1AA,51.438709,-2.601526,Low
BS8,BS8 1AA,51.455323,-2.614064,Low
BS80,BS80 8AA,51.343872,-2.957008,Low
BS9,BS9 0AE,51.494023,-2.619179,Low
BS98,BS98 1AA,51.45975,-2.588963,Low
BS99,BS99 1AA,51.45843,-2.574179,Low
BT1,BT1 1AA,54.60244399999999,-5.922291,Low
BT10,BT10 0AA,54.56570600000001,-5.973733999999999,Low
BT11,BT11 8AA,54.584856,-5.979838,Low
BT12,BT12 4AA,54.598445999999996,-5.936964,Low
BT13,BT13 1AA,54.605633999999995,-5.933335,Low
BT14,BT14 6AA,54.607769,-5.937328,Low
BT15,BT15 1AA,54.60462800000001,-5.929656,Low
BT16,BT16 0AA,54.593467000000004,-5.813135,Low
BT17,BT17 0AA,54.552960999999996,-6.003751,Low
BT18,BT18 0AA,54.64635300000001,-5.8175620000000015,Low
BT19,BT19 1AA,54.645646,-5.690335,Low
BT2,BT2 7AA,54.595592,-5.9350510000000005,Low
BT20,BT20 3AA,54.659604,-5.670836,Low
BT21,BT21 0AA,54.642345999999996,-5.537097,Low
BT22,BT22 1AA,54.455461,-5.488822,Low
BT23,BT23 3AA,54.59316,-5.694933,Low
BT24,BT24 7AA,54.460359,-5.831593,Low
BT25,BT25 1AA,54.41502,-6.152608,Low
BT26,BT26 6AA,54.466379,-6.0835050000000015,Low
BT27,BT27 4AA,54.51303299999999,-6.0422980000000015,Low
BT28,BT28 1AA,54.509928,-6.044763,Low
BT29,BT29 4AA,54.625184,-6.214352,Low
BT3,BT3 9AA,54.612603,-5.915845,Low
BT30,BT30 0AP,54.339794999999995,-5.708832,Low
BT31,BT31 9AA,54.256372,-5.969984999999999,Low
BT32,BT32 3AA,54.36126899999999,-6.228439,Low
BT33,BT33 0AA,54.209403,-5.891444,Low
BT34,BT34 1AA,54.23283299999999,-6.352194,Low
BT35,BT35 0AA,54.19079,-6.575972999999999,Low
BT36,BT36 4AA,54.673708999999995,-5.99183,Low
BT37,BT37 0AA,54.6721,-5.9001160000000015,Low
BT38,BT38 7AA,54.716605,-5.810389,Low
BT39,BT39 0AA,54.702449,-6.093999,Low
BT4,BT4 1AA,54.599803,-5.907198,Low
BT40,BT40 1AA,54.851725,-5.817056,Low
BT41,BT41 1AA,54.719621999999994,-6.2084790000000005,Low
BT42,BT42 1AA,54.86261999999999,-6.285875,Low
BT43,BT43 5AA,54.864596,-6.276367,Low
BT44,BT44 0AA,54.96797700000001,-5.95215,Low
BT45,BT45 5AA,54.755678,-6.609845,Low
BT46,BT46 5AA,54.844122999999996,-6.671627,Low
BT47,BT47 1AA,54.989559,-7.3141669999999985,Low
BT48,BT48 0AA,55.010996999999996,-7.319881,Low
BT49,BT49 0AA,55.051155,-6.95126,Low
BT5,BT5 4AA,54.599619,-5.917344,Low
BT51,BT51 3AA,55.131276,-6.6765929999999996,Low
BT52,BT52 1AA,55.131007,-6.669248,Low
BT53,BT53 6AA,55.071075,-6.5179279999999995,Low
BT54,BT54 6AA,55.20174599999999,-6.248869,Low
BT55,BT55 7AA,55.18226899999999,-6.7182460000000015,Low
BT56,BT56 8AA,55.204983999999996,-6.6513089999999995,Low
BT57,BT57 8AA,55.199068000000004,-6.549911,Low
BT6,BT6 0AA,54.583059,-5.9095260000000005,Low
BT60,BT60 1AA,54.335076,-6.628228,Low
BT61,BT61 0AZ,54.350165000000004,-6.6509490000000016,Low
BT62,BT62 1AA,54.424515,-6.443121,Low
BT63,BT63 5AA,54.42601,-6.43778,Low
BT64,BT64 1AA,54.449406,-6.3899120000000025,Low
BT65,BT65 4AA,54.446554000000006,-6.378261,Low
BT66,BT66 6AA,54.461814000000004,-6.33173,Low
BT67,BT67 0AA,54.506713,-6.298451,Low
BT68,BT68 4TL,54.350149,-6.8348270000000015,Low
BT69,BT69 6AA,54.413985,-6.974941,Low
BT7,BT7 1AA,54.590361,-5.932345,Low
BT70,BT70 1AA,54.504629,-6.7678199999999995,Low
BT71,BT71 4AA,54.51075400000001,-6.767651,Low
BT74,BT74 0BB,54.356207,-7.59399,Low
BT75,BT75 0AB,54.332297,-7.307017,Low
BT76,BT76 0AA,54.411662,-7.17082,Low
BT77,BT77 0AP,54.429739,-7.131425,Low
BT78,BT78 1AA,54.599736,-7.3038570000000025,Low
BT79,BT79 0AA,54.60062900000001,-7.2966630000000015,Low
BT8,BT8 4AA,54.566385,-5.9127769999999975,Low
BT80,BT80 0AA,54.658163,-6.617238,Low
BT81,BT81 7AA,54.709226,-7.5923289999999986,Low
BT82,BT82 0AA,54.844857,-7.421572,Low
BT9,BT9 5AA,54.580552000000004,-5.935146,Low
BT92,BT92 0AA,54.24428100000001,-7.430072,Low
BT93,BT93 0AA,54.537876000000004,-7.612255,Low
BT94,BT94 1AA,54.451347999999996,-7.656716999999999,Low
BT99,BT99 1EA,54.60271700000001,-5.922494,Low
CA1,CA1 1AA,54.890558999999996,-2.943791,Low
CA10,CA10 1AA,54.748763000000004,-2.706027,Low
CA11,CA11 0AA,54.664387,-2.77668,Low
CA12,CA12 4AA,54.598806999999994,-3.1305009999999998,Low
CA13,CA13 0AA,54.659907,-3.3703019999999997,Low
CA14,CA14 1AA,54.649060999999996,-3.544207,Low
CA15,CA15 6AA,54.715199,-3.499309,Low
CA16,CA16 6AA,54.584466000000006,-2.496381,Low
CA17,CA17 4AA,54.471112,-2.347588,Low
CA18,CA18 1BR,54.357946999999996,-3.3875610000000003,Low
CA19,CA19 1TA,54.39283100000001,-3.3796199999999996,Low
CA2,CA2 4AA,54.885303,-2.923777,Low
CA20,CA20 1AA,54.41908000000001,-3.443768,Low
CA21,CA21 2XA,54.44629000000001,-3.509638,Low
CA22,CA22 2AA,54.482027,-3.528921,Low
CA23,CA23 3AA,54.508585,-3.528971,Low
CA24,CA24 3HA,54.521528,-3.54523,Low
CA25,CA25 5AA,54.521598,-3.517035,Low
CA26,CA26 3AL,54.534932999999995,-3.499925,Low
CA27,CA27 0AA,54.490138,-3.5892510000000004,Low
CA28,CA28 0AA,54.544633999999995,-3.5904260000000003,Low
CA3,CA3 0AA,54.913047999999996,-2.942133,Low
CA4,CA4 0AA,54.863645999999996,-2.8851259999999996,Low
CA5,CA5 1AA,54.765012,-3.226179,Low
CA6,CA6 4AA,54.945333,-3.0011669999999997,Low
CA7,CA7 0AA,54.819486,-3.181512,Low
CA8,CA8 0AF,54.942004000000004,-2.7304009999999996,Low
CA9,CA9 3AA,54.810418999999996,-2.448099,Low
CA95,CA95 1AA,54.64570500000001,-3.56618,Low
CA99,CA99 1AA,54.890918000000006,-2.9438459999999997,Low
CB1,CB1 0AA,52.192267,0.137208,Low
CB10,CB10 1AA,52.021421999999994,0.239348,Low
CB11,CB11 3AA,52.021482,0.249523,Low
CB2,CB2 0AA,52.174443,0.13511199999999998,Low
CB21,CB21 4AA,52.098380999999996,0.288362,Low
CB22,CB22 3AA,52.166751,0.15800799999999998,Low
CB23,CB23 1AA,52.156811,0.0054399999999999995,Low
CB24,CB24 1AA,52.286398999999996,0.053966,Low
CB25,CB25 0AA,52.278141999999995,0.329352,Low
CB3,CB3 0AA,52.210537,0.11211900000000001,Low
CB4,CB4 0AB,52.237117,0.145515,Low
CB5,CB5 0AA,52.278133000000004,0.329367,Low
CB6,CB6 1AA,52.401059000000004,0.262921,Low
CB7,CB7 4AA,52.398357,0.267804,Low
CB8,CB8 0AA,52.24757,0.40139400000000003,Low
CB9,CB9 0AA,52.089151,0.44482,Low
CF1,CF1 1AA,51.469744,-3.1876919999999997,Low
CF10,CF10 1AA,51.47910200000001,-3.178085,Low
CF11,CF11 0AA,51.452826,-3.1907349999999997,Low
CF14,CF14 0AT,51.54593,-3.188723,Low
CF15,CF15 5AA,51.535859,-3.261128,Low
CF2,CF2 1AA,51.483416,-3.169325,Low
CF23,CF23 0AA,51.502014,-3.1173580000000003,Low
CF24,CF24 0AA,51.484167,-3.167933,Low
CF3,CF3 0AA,51.524309,-3.109428,Low
CF30,CF30 0AA,51.519635,-3.1195619999999997,Low
CF31,CF31 1AA,51.50715,-3.5760739999999998,Low
CF32,CF32 0AA,51.531634999999994,-3.6410050000000003,Low
CF33,CF33 4AA,51.520815999999996,-3.671664,Low
CF34,CF34 0AA,51.60907,-3.650411,Low
CF35,CF35 5AA,51.485258,-3.5851269999999995,Low
CF36,CF36 3AA,51.47866,-3.706643,Low
CF37,CF37 1AA,51.595927,-3.348968,Low
CF38,CF38 1AA,51.55682,-3.307781,Low
CF39,CF39 0AA,51.61472,-3.4124550000000005,Low
CF4,CF4 1AA,51.512568,-3.220509,Low
CF40,CF40 1AA,51.619619,-3.4530540000000003,Low
CF41,CF41 7AA,51.64615,-3.4885900000000003,Low
CF42,CF42 5AA,51.671186999999996,-3.529614,Low
CF43,CF43 3AA,51.647508,-3.432915,Low
CF44,CF44 0AA,51.706303999999996,-3.416754,Low
CF45,CF45 3AA,51.678689,-3.378329,Low
CF46,CF46 5AA,51.663055,-3.306487,Low
CF47,CF47 0AA,51.742734999999996,-3.36772,Low
CF48,CF48 1AA,51.725978999999995,-3.368894,Low
CF5,CF5 1AA,51.48536,-3.227257,Low
CF6,CF6 1AA,51.438606,-3.172367,Low
CF61,CF61 1AA,51.410270000000004,-3.4828419999999998,Low
CF62,CF62 3AA,51.416022,-3.314371,Low
CF63,CF63 1AB,51.411604,-3.258957,Low
CF64,CF64 1AA,51.438614,-3.172482,Low
CF7,CF7 7AA,51.461093,-3.4448019999999997,Low
CF71,CF71 7AA,51.461013,-3.4446839999999996,Low
CF72,CF72 0AA,51.530165999999994,-3.390821,Low
CF8,CF8 1AA,51.574369,-3.2213990000000003,Low
CF81,CF81 8AA,51.687088,-3.230999,Low
CF82,CF82 6AB,51.651234,-3.2398569999999998,Low
CF83,CF83 1AA,51.574377,-3.22167,Low
CF91,CF91 1WX,51.465745,-3.193634,Low
CF95,CF95 1AA,51.481196000000004,-3.171039,Low
CF99,CF99 1NA,51.464504,-3.161341,Low
CH1,CH1 1AA,53.190346,-2.888219,Low
CH2,CH2 1AA,53.196876,-2.894568,Low
CH25,CH25 9AA,53.396972,-3.011914,Low
CH26,CH26 9AA,53.365697,-3.065921,Low
CH27,CH27 9AA,53.415698,-3.023252,Low
CH28,CH28 9AA,53.40043299999999,-3.111956,Low
CH29,CH29 9AE,53.390338,-3.179391,Low
CH3,CH3 5AA,53.192556,-2.855261,Low
CH30,CH30 9AA,53.37905600000001,-3.098456,Low
CH31,CH31 9AA,53.329738,-3.0988849999999997,Low
CH32,CH32 9AA,53.361945,-2.99765,Low
CH33,CH33 9AA,53.29055,-3.062639,Low
CH34,CH34 9AA,53.28635300000001,-2.912845,Low
